"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AYM00089050","1988-06","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","22","2,","","","","","","","","","","","","","19880630","+,2,S","","","","","","","109","2,,S,30,+","","","","","","","","","","","","","","","",""
"AYM00089050","1988-07","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","26","5,","","","","","","","","","","","","","19880731",",5,S","","","","","","","249","5,,S,31,","","","","","","","","","","","","","","","",""
"AYM00089050","1988-09","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","27","3,","","","","","","","","","","","","","19880928","+,3,S","","","","","","","490","3,,S,28,+","","","","","","","","","","","","","","","",""
"AYM00089050","1989-06","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","22","5,","","","","","","","","","","","","","19890630",",5,S","","","","","","","290","5,,S,30,","","","","","","","","","","","","","","","",""
"AYM00089050","1990-07","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","27","4,","","","","","","","","","","","","","19900727",",4,S","","","","","","","300","4,,S,27,","","","","","","","","","","","","","","","",""
"AYM00089050","1990-08","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","27","4,","","","","","","","","","","","","","19900825",",4,S","","","","","","","450","4,,S,25,","","","","","","","","","","","","","","","",""
"AYM00089050","1990-09","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","26","4,","","","","","","","","","","","","","19900930","+,4,S","","","","","","","470","4,,S,30,+","","","","","","","","","","","","","","","",""
"AYM00089050","1990-10","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","27","4,","","","","","","","","","","","","","19901030",",4,S","","","","","","","650","4,,S,30,","","","","","","","","","","","","","","","",""
"AYM00089050","1990-12","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","","","","","","","27","3,","","","","","","","","","","","","","19901204",",3,S","","","","","","","589","3,,S,04,","","","","","","","","","","","","","","","",""
"AYM00089050","2012-09","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","19","3,S","8","3,S","0","3,S","","","0","5,S","25","5,S","","","","","","","20120909",",5,S","","","20120910",",3,S","","","-15.9","5,S,09,","","","23.9","3,,S,10,","","","","","","","91.8","3,,,S","","","","","-7.82","5,,,S"
"AYM00089050","2012-10","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","21",",S","8",",S","0",",S","","","0","4,S","27","4,S","","","","","","","20121022",",4,S","","","20121005",",,S","","","-16.2","4,S,22,","","","14.0",",,S,05,","","","","","","","62.7",",,,S","","","","","-6.29","4,,,S"
"AYM00089050","2012-11","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","17","1,S","6","1,S","0","1,S","","","0","4,S","25","4,S","","","","","","","20121106",",4,S","","","20121121",",1,S","","","-7.9","4,S,06,","","","9.1","1,,S,21,","","","","","","","44.8","1,,,S","","","","","-3.77","4,,,S"
"AYM00089050","2012-12","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","9","4,S","1","4,S","0","4,S","","","0","3,S","26","3,S","","","","","","","20121212",",3,S","","","20121203",",4,S","","","-8.5","3,S,12,","","","4.6","4,,S,03,","","","","","","","13.3","4,,,S","","","","","-3.04","3,,,S"
"AYM00089050","2013-01","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","17","4,S","6","4,S","0","4,S","","","0","2,S","25","2,S","","","","","","","20130126",",2,S","","","20130130",",4,S","","","-2.1","2,S,26,","","","7.1","4,,S,30,","","","","","","","38.0","4,,,S","","","","","-0.54","2,,,S"
"AYM00089050","2014-04","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","18","3,S","4","3,S","0","3,S","","","","","","","","","","","","","","","","","20140417",",3,S","","","","","","","8.9","3,,S,17,","","","","","","","40.2","3,,,S","","","","","",""
"AYM00089050","2014-05","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","26","2,S","11","2,S","0","2,S","","","","","","","","","","","","","","","","","20140513",",2,S","","","","","","","17.0","2,,S,13,","","","","","","","84.2","2,,,S","","","","","",""
"AYM00089050","2014-06","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","18","4,S","6","4,S","0","4,S","29","1,","","","","","","","","","","","","","20140628",",1,S","20140626",",4,S","","","","","460","1,,S,28,","7.1","4,,S,26,","","","","","","","38.0","4,,,S","","","","","",""
"AYM00089050","2014-07","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","16","3,S","5","3,S","0","3,S","29","2,","","","","","","","","","","","","","20140705","+,2,S","20140704",",3,S","","","","","429","2,,S,05,+","8.9","3,,S,04,","","","","","","","40.6","3,,,S","","","","","",""
"AYM00089050","2014-08","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","19","1,S","6","1,S","0","1,S","29","2,","","","","","","","","","","","","","20140819","+,2,S","20140815",",1,S","","","","","541","2,,S,19,+","7.1","1,,S,15,","","","","","","","36.3","1,,,S","","","","","",""
"AYM00089050","2014-09","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","19","2,S","7","2,S","0","2,S","27","3,","","","","","","","","","","","","","20140917",",3,S","20140918",",2,S","","","","","749","3,,S,17,","13.0","2,,S,18,","","","","","","","50.7","2,,,S","","","","","",""
"AYM00089050","2014-10","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","24","1,S","9","1,S","0","1,S","30","1,","","","","","","","","","","","","","20141031","+,1,S","20141006",",1,S","","","","","711","1,,S,31,+","7.4","1,,S,06,","","","","","","","50.2","1,,,S","","","","","",""
"AYM00089050","2014-11","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","24","2,S","3","2,S","0","2,S","30",",","","","","","","","","","","","","","20141125","+,,S","20141123",",2,S","","","","","770",",,S,25,+","5.1","2,,S,23,","","","","","","","31.7","2,,,S","","","","","",""
"AYM00089050","2014-12","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","16","2,S","4","2,S","0","2,S","30","1,","0","3,S","24","3,S","","","","","","","20141201",",3,S","20141203",",1,S","20141215",",2,S","","","-3.5","3,S,01,","719","1,,S,03,","4.1","2,,S,15,","","","","","","","22.8","2,,,S","","","","","-1.24","3,,,S"
"AYM00089050","2015-01","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","21","1,S","7","1,S","0","1,S","","","","","","","","","","","","","","","","","20150115",",1,S","","","","","","","10.7","1,,S,15,","","","","","","","58.7","1,,,S","","","","","",""
"AYM00089050","2015-02","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","22","2,S","7","2,S","0","2,S","","","","","","","","","","","","","","","","","20150205","+,2,S","","","","","","","7.9","2,,S,05,+","","","","","","","55.4","2,,,S","","","","","",""
"AYM00089050","2015-03","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","22","2,S","12","2,S","0","2,S","","","","","","","","","","","","","","","","","20150314",",2,S","","","","","","","17.5","2,,S,14,","","","","","","","93.2","2,,,S","","","","","",""
"AYM00089050","2015-04","-62.183","-58.883","14.0","BELLINGSHAUSEN AWS, AY","","","","","22",",S","7",",S","0",",S","","","","","","","","","","","","","","","","","20150430","+,,S","","","","","","","6.1",",,S,30,+","","","","","","","40.3",",,,S","","","","","",""
