"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"AYM00089664","1956-04","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","","","0.0",",X","1",",X","0",",X","0",",X","0",",X","0","1,X","29",",X","30",",X","30",",X","0",",X","0",",X","","","","","19560428",",,X","19560430","+,,X","19560416",",1,X","","","19560412",",,X","19560416",",,X","-39.4",",X,28,","0",",T,X,30,+","13","1,,X,16,","0.3",",,X,12,","-7.8",",X,16,","","","1260.3",",X","0.3",",,,X","16","1,,,X","-23.68",",X","-19.30",",,,X","-28.05",",,,X","135",",X","27.8",",X"
"AYM00089664","1956-05","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","31",",X","31",",X","0",",X","0",",X","2","","","","19560530",",,X","19560531","+,,X","19560531","+,,X","","","19560531","+,,X","19560512",",,X","-35.6",",X,30,","0",",T,X,31,+","0",",T,X,31,+","0.0",",T,X,31,+","-7.2",",X,12,","","","1157.1",",X","0.0",",T,,X","0",",T,,X","-18.99",",X","-14.56",",,,X","-23.43",",,,X","158",",X","29.8",",X"
"AYM00089664","1956-06","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","30",",X","30",",X","0",",X","0",",X","1","","","","19560630","+,,X","19560630","+,,X","19560627","+,,X","","","19560627","+,,X","19560616",",,X","-38.9",",X,30,+","0",",T,X,30,+","0",",T,X,27,+","0.0",",T,X,27,+","-7.8",",X,16,","","","1282.2",",X","0.0",",T,,X","0",",T,,X","-24.41",",X","-19.48",",,,X","-29.34",",,,X","180",",X","40.1",",X"
"AYM00089664","1956-07","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","","","","","19560716",",,X","19560731","+,,X","19560729","+,,X","","","19560729","+,,X","19560721",",,X","-38.9",",X,16,","0",",T,X,31,+","0",",T,X,29,+","0.0",",T,X,29,+","-4.4",",X,21,","","","1320.7",",X","0.0",",T,,X","0",",T,,X","-24.27",",X","-18.49",",,,X","-30.05",",,,X","180",",X","35.0",",X"
"AYM00089664","1956-08","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","5","","","","19560808",",,X","19560831","+,,X","19560831","+,,X","","","19560831","+,,X","19560831","+,,X","-49.4",",X,08,","0",",T,X,31,+","0",",T,X,31,+","0.0",",T,X,31,+","-15.0",",X,31,+","","","1550.1",",X","0.0",",T,,X","0",",T,,X","-31.67",",X","-26.59",",,,X","-36.75",",,,X","203",",X","32.9",",X"
"AYM00089664","1956-09","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","30",",X","30",",X","0",",X","0",",X","","","","","19560902",",,X","19560930","+,,X","19560925","+,,X","","","19560925","+,,X","19560930","+,,X","-35.6",",X,02,","0",",T,X,30,+","0",",T,X,25,+","0.0",",T,X,25,+","-8.3",",X,30,+","","","1156.8",",X","0.0",",T,,X","0",",T,,X","-20.23",",X","-14.37",",,,X","-26.09",",,,X","180",",X","38.6",",X"
"AYM00089664","1956-10","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","2",",X","1",",X","0",",X","0","2,X","1","1,X","27",",X","31",",X","31",",X","0",",X","0",",X","1","","","","19561007","+,,X","19561029","+,2,X","19561018",",1,X","","","19561018",",,X","19561028",",,X","-34.4",",X,07,+","0","2,T,X,29,+","30","1,,X,18,","3.0",",,X,18,","-7.2",",X,28,","","","1187.9",",X","3.8",",,,X","38","1,,,X","-19.99",",X","-15.28",",,,X","-24.70",",,,X","158",",X","25.2",",X"
"AYM00089664","1956-11","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","2",",X","0",",X","0",",X","1",",X","0",",X","3",",X","30",",X","28",",X","0",",X","0",",X","","","","","19561102",",,X","19561124",",,X","19561124",",,X","","","19561124",",,X","19561120",",,X","-19.4",",X,02,","25",",,X,24,","20",",,X,24,","2.0",",,X,24,","1.1",",X,20,","","","805.2",",X","3.3",",,,X","33",",,,X","-8.51",",X","-5.37",",,,X","-11.64",",,,X","180",",X","29.3",",X"
"AYM00089664","1956-12","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","3",",X","2",",X","0",",X","2",",X","2",",X","0",",X","31",",X","12",",X","0",",X","0",",X","4","","","","19561202",",,X","19561211","+,,X","19561211",",,X","","","19561211",",,X","19561217",",,X","-10.6",",X,02,","51",",,X,11,+","56",",,X,11,","5.6",",,X,11,","4.4",",X,17,","","","640.0",",X","10.0",",,,X","100",",,,X","-2.31",",X","0.64",",,,X","-5.26",",,,X","180",",X","19.5",",X"
"AYM00089664","1957-01","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","18",",X","0",",X","0",",X","2","","","","19570128","+,,X","19570131","+,,X","19570131","+,,X","","","19570131","+,,X","19570105",",,X","-12.2",",X,28,+","0",",T,X,31,+","0",",T,X,31,+","0.0",",T,X,31,+","4.4",",X,05,","673.9","X","673.9",",X","0.0",",T,,X","0",",T,,X","-3.40",",X","-0.48",",,,X","-6.33",",,,X","90",",X","19.5",",X"
"AYM00089664","1957-02","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","28",",X","28",",X","0",",X","0",",X","","","","","19570228",",,X","19570228","+,,X","19570227","+,,X","","","19570227","+,,X","19570206","+,,X","-19.4",",X,28,","0",",T,X,28,+","0",",T,X,27,+","0.0",",T,X,27,+","0.0",",X,06,+","1413.8","X","739.9",",X","0.0",",T,,X","0",",T,,X","-8.09",",X","-5.26",",,,X","-10.93",",,,X","158",",X","19.0",",X"
"AYM00089664","1957-03","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","4",",X","3",",X","0",",X","4",",X","3",",X","24",",X","31",",X","31",",X","0",",X","0",",X","","","","","19570324",",,X","19570313",",,X","19570313",",,X","","","19570313",",,X","19570310",",,X","-28.3",",X,24,","76",",,X,13,","64",",,X,13,","6.4",",,X,13,","-7.2",",X,10,","2521.2","X","1107.4",",X","14.0",",,,X","140",",,,X","-17.39",",X","-14.52",",,,X","-20.26",",,,X","180",",X","26.7",",X"
"AYM00089664","1957-04","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","4",",X","2",",X","0",",X","4",",X","2",",X","28",",X","30",",X","30",",X","0",",X","0",",X","1","","","","19570408",",,X","19570423","+,,X","19570422","+,,X","","","19570422","+,,X","19570425",",,X","-36.1",",X,08,","51",",,X,23,+","25",",,X,22,+","2.5",",,X,22,+","-11.1",",X,25,","3794.7","X","1273.5",",X","6.8",",,,X","68",",,,X","-24.12",",X","-19.68",",,,X","-28.55",",,,X","68",",X","21.1",",X"
"AYM00089664","1957-05","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","5",",X","5",",X","0",",X","16",",X","5",",X","31",",X","31",",X","31",",X","0",",X","0",",X","","","","","19570523",",,X","19570516",",,X","19570514",",,X","","","19570514",",,X","19570516",",,X","-37.8",",X,23,","152",",,X,16,","229",",,X,14,","22.9",",,X,14,","-10.0",",X,16,","5112.6","X","1317.9",",X","55.9",",,,X","559",",,,X","-24.18",",X","-19.25",",,,X","-29.11",",,,X","180",",X","42.7",",X"
"AYM00089664","1957-06","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","9",",X","3",",X","0",",X","28","2,X","3","1,X","24",",X","30",",X","30",",X","0",",X","0",",X","","","","","19570606",",,X","19570620",",2,X","19570614",",1,X","","","19570614",",,X","19570620",",,X","-38.9",",X,06,","178","2,,X,20,","53","1,,X,14,","5.3",",,X,14,","-10.6",",X,20,","6384.7","X","1272.1",",X","14.8",",,,X","135","1,,,X","-24.07",",X","-20.49",",,,X","-27.65",",,,X","180","1,X","43.2","1,X"
"AYM00089664","1957-07","-77.8833","166.7333","24.1","MCMURDO SOUND NAF, AY","","","0.0","X","0.0",",X","7",",X","1",",X","0",",X","31",",X","1",",X","31",",X","31",",X","31",",X","0",",X","0",",X","","","","","19570731","+,,X","19570722",",,X","19570722",",,X","","","19570722",",,X","19570716","+,,X","-40.0",",X,31,+","203",",,X,22,","28",",,X,22,","2.8",",,X,22,","-17.8",",X,16,+","7809.9","X","1425.2",",X","8.5",",,,X","85",",,,X","-27.64",",X","-23.48",",,,X","-31.80",",,,X","180",",X","29.3",",X"
